timestamp_utc,frame_idx,ear,is_eye_closed,perclos,blink_count
2025-09-27T13:03:00.008644,124,0.2666,0,0.0806,1
2025-09-27T13:03:00.053635,125,0.1654,1,0.0880,1
2025-09-27T13:03:00.109719,126,0.1395,1,0.0952,1
2025-09-27T13:03:00.154208,127,0.1269,1,0.1024,1
2025-09-27T13:03:00.201489,128,0.0981,1,0.1094,1
2025-09-27T13:03:00.247489,129,0.0925,1,0.1163,1
2025-09-27T13:03:00.298362,130,0.1103,1,0.1231,1
2025-09-27T13:03:00.364208,131,0.1511,1,0.1298,1
2025-09-27T13:03:00.406398,132,0.2455,1,0.1364,1
2025-09-27T13:03:00.459666,133,0.2624,0,0.1353,2
2025-09-27T13:03:00.507653,134,0.2915,0,0.1343,2
2025-09-27T13:03:00.555445,135,0.3040,0,0.1333,2
2025-09-27T13:03:00.604561,136,0.3103,0,0.1324,2
2025-09-27T13:03:00.653911,137,0.3125,0,0.1314,2
2025-09-27T13:03:00.700890,138,0.3040,0,0.1304,2
2025-09-27T13:03:00.749163,139,0.3192,0,0.1295,2
2025-09-27T13:03:00.808938,140,0.3123,0,0.1286,2
2025-09-27T13:03:00.857939,141,0.3006,0,0.1277,2
2025-09-27T13:03:00.902143,142,0.3127,0,0.1268,2
2025-09-27T13:03:00.949158,143,0.3143,0,0.1259,2
2025-09-27T13:03:01.000667,144,0.3021,0,0.1250,2
2025-09-27T13:03:01.047667,145,0.3144,0,0.1241,2
2025-09-27T13:03:01.097245,146,0.3287,0,0.1233,2
2025-09-27T13:03:01.143244,147,0.3198,0,0.1224,2
2025-09-27T13:03:01.192136,148,0.3198,0,0.1216,2
2025-09-27T13:03:01.252288,149,0.3198,0,0.1208,2
2025-09-27T13:03:01.303769,150,0.3198,0,0.1200,2
2025-09-27T13:03:01.355613,151,0.3230,0,0.1192,2
2025-09-27T13:03:01.399653,152,0.3052,0,0.1184,2
2025-09-27T13:03:01.450957,153,0.3301,0,0.1176,2
2025-09-27T13:03:01.500198,154,0.3079,0,0.1169,2
2025-09-27T13:03:01.553030,155,0.3027,0,0.1161,2
2025-09-27T13:03:01.594947,156,0.3027,0,0.1154,2
2025-09-27T13:03:01.645891,157,0.3121,0,0.1146,2
2025-09-27T13:03:01.710432,158,0.2947,0,0.1139,2
2025-09-27T13:03:01.758990,159,0.2938,0,0.1132,2
2025-09-27T13:03:01.798652,160,0.3214,0,0.1125,2
2025-09-27T13:03:01.850571,161,0.3166,0,0.1118,2
2025-09-27T13:03:01.899687,162,0.3198,0,0.1111,2
2025-09-27T13:03:01.946997,163,0.3016,0,0.1104,2
2025-09-27T13:03:01.995724,164,0.3169,0,0.1098,2
2025-09-27T13:03:02.046024,165,0.3085,0,0.1091,2
2025-09-27T13:03:02.094808,166,0.3014,0,0.1084,2
2025-09-27T13:03:02.156049,167,0.3000,0,0.1078,2
2025-09-27T13:03:02.201797,168,0.2899,0,0.1071,2
2025-09-27T13:03:02.253414,169,0.2917,0,0.1065,2
2025-09-27T13:03:02.298935,170,0.3007,0,0.1059,2
2025-09-27T13:03:02.347716,171,0.2917,0,0.1053,2
2025-09-27T13:03:02.396936,172,0.3007,0,0.1047,2
2025-09-27T13:03:02.442288,173,0.3105,0,0.1040,2
2025-09-27T13:03:02.493666,174,0.3040,0,0.1034,2
2025-09-27T13:03:02.539185,175,0.3018,0,0.1029,2
2025-09-27T13:03:02.601882,176,0.3070,0,0.1023,2
